cell,gene,expr_real,expr_wt,expr_ko,diff
547,FOXM1,2.0,0.0,0.0,0.0
548,FOXM1,2.0,3.0,2.0,-1.0
549,FOXM1,3.0,0.0,0.0,0.0
550,FOXM1,0.0,1.0,0.0,-1.0
551,FOXM1,0.0,0.0,0.0,0.0
552,FOXM1,0.0,0.0,0.0,0.0
553,FOXM1,0.0,0.0,0.0,0.0
554,FOXM1,0.0,1.0,0.0,-1.0
555,FOXM1,0.0,0.0,0.0,0.0
556,FOXM1,0.0,0.0,2.0,2.0
557,FOXM1,0.0,0.0,0.0,0.0
558,FOXM1,0.0,0.0,0.0,0.0
559,FOXM1,0.0,0.0,0.0,0.0
560,FOXM1,1.0,0.0,0.0,0.0
561,FOXM1,0.0,1.0,0.0,-1.0
562,FOXM1,0.0,2.0,0.0,-2.0
563,FOXM1,0.0,0.0,0.0,0.0
564,FOXM1,0.0,0.0,0.0,0.0
565,FOXM1,1.0,2.0,0.0,-2.0
566,FOXM1,0.0,0.0,0.0,0.0
567,FOXM1,0.0,1.0,0.0,-1.0
568,FOXM1,0.0,0.0,0.0,0.0
569,FOXM1,0.0,1.0,2.0,1.0
570,FOXM1,0.0,0.0,0.0,0.0
