gene,umap_x,umap_y,cluster
LAMTOR3,9.770565,15.897388,0
CRNDE,-3.793662,0.9049203,2
APP,-0.18459916,13.575519,10
PCDH7,2.9482934,18.51212,3
RARS,12.615842,21.427296,11
VANGL2,18.339798,-6.7576604,18
ZNF117,22.894415,-4.2344065,18
CEP131,8.617428,-0.017443497,13
PLEKHA2,22.085142,-4.169693,18
SPG11,2.8074615,-1.5164099,13
RALGAPA2,0.7777295,-7.0213647,1
KHNYN,3.9089615,-1.5187027,13
ATF6B,-3.8053937,0.41540003,2
BICD1,14.444198,-7.0305004,18
VWA8,5.6835375,5.587771,9
KIZ,16.769972,4.2874656,7
ZNF124,3.1308658,-8.865071,1
TBC1D32,7.9992886,-1.3747978,13
CYTH2,21.11906,-5.108878,18
MAGED1,21.057894,10.8924465,15
CDKAL1,9.118796,-8.317297,1
MRS2,12.392438,-8.170829,1
TRIM52,9.067403,-9.805197,1
TMEM214,9.344389,-9.705427,1
CUL4B,13.373041,-7.868614,18
FLCN,-4.5086117,3.4694414,14
THOC2,5.334924,19.75256,17
CNKSR2,6.264528,6.107328,9
KIF20B,20.529165,9.636064,15
NR2C2,4.3903966,-8.163846,1
TRMT10B,1.0230489,-7.0446806,1
EHBP1L1,22.553959,-1.084968,18
SLC25A12,8.157134,0.5648625,13
LMNB1,18.679459,2.4135683,7
PDE7A,8.307751,-1.2865298,13
FAM208B,22.771807,-1.7839137,18
ABCC5,8.289595,-9.980483,1
INTS4,-3.906895,0.9568234,2
CRBN,9.308856,12.824825,0
RBM19,10.884885,-8.747912,1
TM2D3,19.692205,12.385158,15
DNAJC13,9.712777,-9.075189,1
POLDIP3,8.967179,13.901789,0
MIER3,8.770035,-8.007532,1
SLC2A6,3.016068,-0.6611092,13
ADNP,11.88082,21.665066,17
MT1G,6.037199,10.452044,5
STC2,1.8002539,16.785542,3
LSG1,18.928827,2.1321461,7
TCF20,10.34451,-8.985077,1
FAN1,22.555841,-1.1601598,18
SMCR8,9.362148,-8.447688,1
AC005726.1,2.4698036,3.4400034,9
GLUL,-3.855672,8.168793,16
SULT4A1,6.7443557,9.906561,5
ODF2L,3.0141969,-8.339295,1
ERI2,3.7146423,4.9207788,9
NNT,16.669094,6.074065,7
PPM1L,7.722501,5.801324,9
SLF1,17.462612,7.1774154,7
ADPGK,22.591831,-0.18356085,18
MTRNR2L8,6.9939446,21.104172,17
ANLN,-6.277876,-0.87974465,19
PLEKHH3,8.661827,0.05465922,13
PDS5A,14.045926,17.480951,11
ARFGAP1,11.906618,11.606272,0
CIP2A,6.8007917,-1.6449106,13
LIN28B,5.6301055,-7.2294106,1
ALG10B,6.483182,-2.805142,13
RYR1,10.430058,-8.184092,1
MIR99AHG,12.261552,11.768053,0
PPP6R3,10.299049,11.904273,0
RAB18,12.0612545,11.885696,0
HK2,9.67918,12.365605,0
NOTCH2,6.8025765,-11.154855,1
MIR4458HG,11.863188,16.82501,0
CLCN3,10.061017,-9.258566,1
INPP5E,4.2039733,4.773594,9
MAP4K2,3.5867846,4.2788205,9
