x,y,cell_type,prolif_score_wt,prolif_score_ko,qsc_score_wt,qsc_score_ko,delta_prolif,delta_qsc
0.5745545,6.078294,quiescent,0.67,0.35,3.73,3.87,-0.32,0.1400000000000001
-0.7015771,6.381174,quiescent,0.71,0.84,3.34,3.58,0.13,0.2400000000000002
1.3433552,5.7251854,quiescent,0.94,0.84,3.65,3.54,-0.0999999999999999,-0.1099999999999998
1.6578852,7.356501,quiescent,1.51,1.51,4.15,4.49,0.0,0.3399999999999998
-1.7738035,7.2704597,quiescent,0.43,0.39,3.23,3.94,-0.0399999999999999,0.71
-0.1906771,5.642963,quiescent,0.49,0.94,3.33,3.21,0.4499999999999999,-0.1200000000000001
0.21986865,4.3051558,quiescent,0.42,0.49,4.18,4.36,0.07,0.1800000000000006
1.0097206,6.179011,quiescent,0.65,0.5,3.73,4.47,-0.15,0.7399999999999998
0.036046427,7.176483,quiescent,0.63,0.69,3.7,4.81,0.0599999999999999,1.1099999999999994
0.6275181,6.649088,quiescent,0.39,0.38,2.79,3.46,-0.01,0.6699999999999999
-0.6871252,4.908443,quiescent,1.83,1.85,3.56,3.71,0.02,0.1499999999999999
-1.9938215,5.2587485,quiescent,1.1,1.14,3.29,3.7,0.0399999999999998,0.4100000000000001
-1.4102118,5.7419024,quiescent,0.74,0.71,3.04,4.64,-0.03,1.5999999999999996
-0.23393877,8.107212,quiescent,1.14,1.08,3.1,3.88,-0.0599999999999998,0.7799999999999998
-0.0060406895,9.444645,quiescent,0.77,1.07,3.24,3.86,0.3,0.6199999999999997
-1.0617738,4.2776456,quiescent,0.61,0.47,3.28,4.05,-0.14,0.77
-1.9433633,6.58441,quiescent,0.59,0.76,4.46,2.97,0.17,-1.4899999999999998
-1.5342569,9.64254,quiescent,0.86,0.88,4.46,3.8,0.02,-0.6600000000000001
-1.0506762,6.7284102,quiescent,1.61,1.86,3.6,3.3,0.25,-0.3000000000000002
-1.1854144,9.070471,quiescent,1.98,1.54,4.67,3.77,-0.4399999999999999,-0.8999999999999999
-0.22368555,6.1892905,quiescent,1.35,0.84,3.22,3.17,-0.5100000000000001,-0.0500000000000002
-1.5601261,7.9638786,quiescent,0.55,0.9,3.35,3.98,0.35,0.6299999999999999
-2.2641966,9.27111,quiescent,1.78,1.8,3.41,4.22,0.02,0.8099999999999996
-1.7244531,5.930972,quiescent,0.73,0.43,4.23,3.35,-0.3,-0.8800000000000003
2.186223,7.442334,quiescent,0.66,0.75,3.95,4.11,0.0899999999999999,0.1600000000000001
-1.6584277,7.2864833,quiescent,1.64,1.16,3.14,4.23,-0.48,1.0900000000000003
-1.673245,5.509731,quiescent,0.69,0.87,3.48,3.14,0.18,-0.3399999999999998
-2.2077608,5.008822,quiescent,0.6,0.54,3.68,4.14,-0.0599999999999999,0.4599999999999995
-2.4261966,9.96683,quiescent,2.69,2.29,3.35,3.99,-0.3999999999999999,0.6400000000000001
-1.3622522,6.655534,quiescent,1.83,1.46,4.23,3.89,-0.3700000000000001,-0.3400000000000003
-1.1295698,7.8276987,quiescent,1.84,1.87,4.48,4.67,0.03,0.1899999999999995
1.7839833,6.27357,quiescent,0.62,0.65,3.42,4.22,0.03,0.7999999999999998
0.6855725,6.9861093,quiescent,0.9,1.3,4.19,3.04,0.4,-1.1500000000000004
-2.3064654,9.388509,quiescent,1.17,0.92,3.97,4.07,-0.2499999999999999,0.1
0.1522268,7.6214757,quiescent,0.44,0.57,3.39,3.8,0.1299999999999999,0.4099999999999997
0.3685744,7.176065,quiescent,1.28,1.42,3.28,3.13,0.1399999999999999,-0.1499999999999999
-1.3842446,4.242597,quiescent,0.54,0.8,4.28,3.89,0.26,-0.3900000000000001
1.296389,8.779531,quiescent,0.61,1.54,3.1,3.7,0.93,0.6000000000000001
1.6328431,4.142466,quiescent,0.52,0.79,3.76,4.46,0.27,0.7000000000000002
1.6083713,5.1805344,quiescent,0.61,0.58,3.98,3.33,-0.03,-0.6499999999999999
-1.0148436,2.8061278,quiescent,2.5,2.65,3.32,3.26,0.1499999999999999,-0.06
1.3516967,7.7615337,quiescent,0.56,0.61,4.26,3.08,0.0499999999999999,-1.1799999999999995
0.039972022,7.0235653,quiescent,0.78,0.67,3.16,3.6,-0.1099999999999999,0.4399999999999999
-1.7309408,5.0935287,quiescent,0.78,0.78,2.77,3.02,0.0,0.25
-0.4208722,8.60923,quiescent,0.81,0.81,3.53,3.97,0.0,0.4400000000000004
-1.404014,7.824695,quiescent,0.64,0.65,3.67,3.8,0.01,0.1299999999999999
-2.6794367,7.173318,quiescent,2.14,1.22,3.79,3.94,-0.9200000000000002,0.1499999999999999
0.15568756,4.5041146,quiescent,0.83,1.15,3.39,3.78,0.3199999999999999,0.3899999999999997
-2.0371113,9.609553,quiescent,1.71,0.64,4.25,3.06,-1.0699999999999998,-1.19
2.1392417,5.319841,quiescent,1.06,0.79,3.38,3.71,-0.27,0.33
-2.7744331,9.21938,quiescent,0.91,0.81,3.81,3.6,-0.0999999999999999,-0.2099999999999999
-2.1817017,7.1293817,quiescent,0.79,0.92,3.34,4.64,0.13,1.2999999999999998
-0.46168792,9.084802,quiescent,0.8,0.74,4.19,4.4,-0.06,0.2099999999999999
-0.7276626,3.4859185,quiescent,0.7,1.91,3.59,3.48,1.21,-0.1099999999999998
-2.3531206,9.05702,quiescent,1.31,0.96,4.92,3.17,-0.3500000000000001,-1.75
0.84080195,8.025925,quiescent,0.64,2.88,4.3,3.34,2.24,-0.96
-0.94218343,9.284754,quiescent,0.79,1.02,2.94,3.69,0.2299999999999999,0.75
-2.1981044,6.879859,quiescent,2.11,1.68,4.47,3.55,-0.4299999999999999,-0.92
-0.17380506,6.8991385,quiescent,0.96,0.82,4.1,4.13,-0.14,0.0300000000000002
-0.45605993,7.415169,quiescent,1.11,1.18,4.22,3.19,0.0699999999999998,-1.0299999999999998
0.6363015,5.0658784,quiescent,2.67,1.65,5.15,4.57,-1.02,-0.5800000000000001
-0.44325855,9.428273,quiescent,0.78,1.39,3.89,3.42,0.6099999999999999,-0.4700000000000002
-1.9038297,9.36873,quiescent,0.5,0.7,3.29,3.89,0.1999999999999999,0.6000000000000001
-0.9829545,5.788474,quiescent,0.85,1.02,4.3,3.52,0.17,-0.7799999999999998
1.3168086,8.576223,quiescent,0.93,0.73,3.73,4.29,-0.2,0.56
-2.1505673,3.2536075,quiescent,0.92,0.88,3.15,4.64,-0.04,1.4899999999999998
-0.292692,6.8943796,quiescent,0.82,1.08,5.0,3.49,0.2600000000000001,-1.5099999999999998
1.854331,7.425421,quiescent,0.93,1.87,3.78,3.2,0.94,-0.5799999999999996
-1.8443626,11.398763,quiescent,1.78,0.99,3.81,4.25,-0.79,0.4399999999999999
-0.8124309,10.493997,quiescent,1.87,0.99,4.38,4.62,-0.8800000000000001,0.2400000000000002
-1.0524927,9.75045,quiescent,1.57,0.77,3.98,4.15,-0.8,0.1700000000000003
2.2118254,7.195489,quiescent,2.19,0.84,4.87,4.92,-1.35,0.0499999999999998
-2.1301596,8.614638,quiescent,0.62,0.59,3.55,3.62,-0.03,0.0700000000000002
0.36130282,5.0823607,quiescent,0.73,1.19,4.39,3.74,0.4599999999999999,-0.6499999999999995
-2.3437006,9.029339,quiescent,0.97,0.87,3.74,2.89,-0.0999999999999999,-0.8500000000000001
-1.4750388,4.9296584,quiescent,1.26,1.5,3.03,3.72,0.24,0.6900000000000004
0.91456205,5.868767,quiescent,0.75,0.71,3.21,3.63,-0.04,0.4199999999999999
-0.75481075,7.9001985,quiescent,1.42,1.12,3.89,3.91,-0.2999999999999998,0.02
-2.1282575,12.163008,quiescent,0.96,0.43,3.92,3.41,-0.53,-0.5099999999999998
-0.13556395,9.705767,quiescent,1.76,1.62,5.12,4.25,-0.1399999999999999,-0.8700000000000001
0.19079176,6.344369,quiescent,0.83,0.76,3.74,3.79,-0.0699999999999999,0.0499999999999998
-0.33295196,4.0515957,quiescent,1.28,0.65,2.38,4.75,-0.63,2.37
-0.16301765,8.272713,quiescent,0.73,0.62,3.13,3.56,-0.1099999999999999,0.4300000000000001
1.1759961,5.889018,quiescent,0.67,0.49,4.63,3.26,-0.18,-1.37
-2.8289287,7.5578637,quiescent,1.31,1.13,3.7,5.04,-0.1800000000000001,1.34
-2.755122,10.231937,quiescent,1.19,0.9,3.53,3.93,-0.2899999999999999,0.4000000000000003
0.67526627,8.759646,quiescent,0.98,0.65,3.04,3.91,-0.3299999999999999,0.8700000000000001
-1.4400861,3.9432943,quiescent,0.66,0.37,3.27,4.21,-0.29,0.94
-1.1476488,6.400418,quiescent,0.83,0.66,3.85,3.42,-0.1699999999999999,-0.4300000000000001
-0.47734588,6.7559767,quiescent,0.74,0.63,3.36,4.04,-0.1099999999999999,0.6800000000000002
-2.0473464,6.763583,quiescent,0.88,0.5,3.0,3.32,-0.38,0.3199999999999998
