gene,cell_type,mean_wt,mean_ko,log2fc
RPSA,intermediate,55.906580493537014,55.75969447708578,-0.0037954494279413458
PDZD2,intermediate,0.18958088523305916,0.17743830787309048,-0.09549599670759254
OTUD1,intermediate,0.327262044653349,0.3133568350959655,-0.06263982809084158
GAPDH,intermediate,71.40403446925185,71.10458284371327,-0.0060630440339226625
MIF,intermediate,3.928711320015668,3.9696435566000785,0.014953307190891618
GNAS,intermediate,18.60889150019585,18.51840971406189,-0.007031907965571082
BNIP3,intermediate,3.7493145319232277,3.9120642381511948,0.06130320114819457
WSCD1,intermediate,0.26243634939287114,0.2602820211515864,-0.011891896023459551
LGALS1,intermediate,16.55777516647082,17.024285154719937,0.04008538716705668
FKBP4,intermediate,2.419114766940854,2.4794359576968272,0.03553274703311421
HSPH1,intermediate,2.5947904426165294,2.5710928319623974,-0.013236328952867514
CNBP,intermediate,5.741088915001958,5.717391304347826,-0.005967366257024782
FLCN,intermediate,0.47610654132393265,0.4925577751664708,0.049008506562953406
FOXO1,intermediate,0.426948687818253,0.4061887974931453,-0.07191224067836167
SMPDL3A,intermediate,0.42107324716020367,0.39247943595769685,-0.10145415103199831
CCT8,intermediate,4.396200548374462,4.440853897375637,0.014579906422386034
ID2,intermediate,0.6214257735996866,0.6235801018409715,0.004992814617990751
ZNF100,intermediate,0.2902467685076381,0.2902467685076381,0.0
MBD6,intermediate,0.47218958088523305,0.44594594594594594,-0.08249735928609933
HSPA1A,intermediate,0.2935761848805327,0.34586760673717193,0.23648495895763108
APOE,intermediate,6.230708969839404,6.403055229142185,0.039364122243829826
RPL22L1,intermediate,2.1807677242459853,2.1171171171171173,-0.04273503503325001
ANXA2R,intermediate,0.24010967489228358,0.23873873873873874,-0.008260853036066164
C1orf21,intermediate,0.3145319232275754,0.2900509204857031,-0.11690025184132974
PARK7,intermediate,4.862514688601645,4.81825303564434,-0.013192447952448928
PDCD5,intermediate,1.773599686643165,1.745397571484528,-0.023124725478707257
GLUL,intermediate,1.8223658441049746,1.8045436741088916,-0.01417855233448411
ING4,intermediate,0.6396396396396397,0.6504112808460635,0.0240929319036598
KLF2,intermediate,0.38229533881707795,0.36231884057971014,-0.07742778195114436
NDUFS6,intermediate,3.3885624755189974,3.3873873873873874,-0.0005003855904709331
TNNT1,intermediate,1.9719937328632982,1.9770857814336076,0.003720501074438081
MYB,intermediate,0.18899334116725422,0.15667841754798276,-0.27052894080629314
WIPF2,intermediate,0.4669016842929886,0.49236192714453586,0.07660041379856472
OTUD3,intermediate,0.44398746572659614,0.42401096748922834,-0.06641736597360894
DUSP1,intermediate,0.7283587935761848,0.7359968664316491,0.015050318787512078
NPM1,intermediate,30.015863689776733,29.936741088915003,-0.0038080030242697792
MYO19,intermediate,0.4535840188014101,0.4336075205640423,-0.06498003106114997
DDRGK1,intermediate,0.754602428515472,0.7929886408147278,0.07158345692436022
AC244197.2,intermediate,0.24304739522130828,0.22796709753231492,-0.09241205682940862
PTEN,intermediate,0.5148844496670584,0.5532706619663141,0.10373672537746395
PLEKHF2,intermediate,0.3991382687034861,0.40227183705444575,0.011282130124225033
IP6K2,intermediate,0.7700744222483353,0.8039561300430865,0.06211890024563219
CLN5,intermediate,0.5262436349392872,0.48962005483744614,-0.10406822625865282
DNAH6,intermediate,0.20759890325107716,0.18370544457500979,-0.17640443603131403
CEP72,intermediate,0.2500979240109675,0.2428515471993733,-0.04241840425636114
LAMA2,intermediate,0.8443008225616921,0.8678025851938895,0.03960976426117658
DDIT4,intermediate,2.8213866039952995,2.8501762632197414,0.014646775959236226
FAM83G,intermediate,0.21837054445750098,0.18703486094790442,-0.2234710707776849
STIM2,intermediate,0.5405405405405406,0.5041128084606346,-0.10065621325196589
PANK2,intermediate,0.7591069330199764,0.7565609087348217,-0.004846893176754181
COMP,intermediate,0.008225616921269096,0.007833920877399139,-0.07038931912187406
HSPA6,intermediate,1.418527222875049,1.4048178613396005,-0.014010744520617974
SF1,intermediate,2.1981981981981984,2.1956521739130435,-0.0016719445172374984
POLA1,intermediate,0.41284763023893456,0.3856247551899726,-0.09841175548896955
POLH,intermediate,0.27516647081864476,0.2779083431257344,0.014304458900534858
GAMT,intermediate,1.145710928319624,1.1296513905209558,-0.020365460099405302
AL450384.1,intermediate,0.17939678809244028,0.1707794751273012,-0.0710194629142327
PKN3,intermediate,0.23932628280454368,0.22267920094007052,-0.10401203047582837
OBSL1,intermediate,0.8533098315707012,0.8593811202506855,0.010228412476080756
CCDC28A,intermediate,0.426948687818253,0.39287113200156676,-0.12000652875900705
CCDC144NL-AS1,intermediate,0.23482177830003917,0.2136701919310615,-0.13618055648243224
MYLPF,intermediate,1.0342734038386212,1.0350567959263612,0.001092330197551334
SLC26A5,intermediate,0.09498629063846455,0.08715236976106541,-0.12417940985547547
SLC3A2,intermediate,1.8190364277320799,1.8305914610262437,0.009135421709817307
LAMA4,intermediate,1.3153153153153154,1.3065021543282413,-0.009699188962085215
MDH2,intermediate,2.2495103799451623,2.2777124951037995,0.01797462996661012
PABPN1,intermediate,1.900509204857031,1.308852330591461,-0.5380836759281993
DNAI1,intermediate,0.18801410105757932,0.17743830787309048,-0.08352335510493243
DCP2,intermediate,0.990795142969056,0.9733646690168429,-0.02560638733154722
GPCPD1,intermediate,0.6711711711711712,0.690755973364669,0.04149538384613239
AC106707.1,intermediate,0.2796709753231492,0.2873090481786134,0.038872891507151335
OAS3,intermediate,0.2336466901684293,0.22169996083039561,-0.07572008453061072
EIF2A,intermediate,0.9144144144144144,1.13728946337642,0.31467944515131296
MAPK11,intermediate,0.18664316490403446,0.17156286721504113,-0.12154534362933153
ANKH,intermediate,0.2826086956521739,0.25851938895417154,-0.1285333697696965
FSTL5,intermediate,0.24050137093615354,0.236388562475519,-0.024884884510789317
SNRPF,intermediate,4.72463768115942,4.688797493145319,-0.010985726334671219
ZBTB48,intermediate,0.3225616921269095,0.2878965922444183,-0.16402439946408828
RFWD3,intermediate,0.45162553858206034,0.45613004308656485,0.014318126527547664
RBM4,intermediate,0.573638856247552,0.5434782608695652,-0.07792042161496596
BANF1,intermediate,3.6249510379945162,3.647669408538974,0.009013473854540325
DEDD2,intermediate,0.47786917352134745,0.4651390520955738,-0.038953634261950414
AC148476.1,intermediate,0.23482177830003917,0.2097532314923619,-0.16287317792969633
PPP2R3B,intermediate,0.30297688993341165,0.263415589502546,-0.20186702328990414
LNCSRLR,intermediate,0.17430473952213082,0.17234625930278105,-0.01630181223504522
CDC37,intermediate,1.8950254602428516,1.8965922444183314,0.0011923100183827552
ATL2,intermediate,0.41872307089698396,0.4120642381511947,-0.02312714837251065
MTRNR2L10,intermediate,0.21210340775558167,0.19056012534273403,-0.1545215320582504
LNX2,intermediate,0.2218958088523306,0.2044653349001175,-0.11802614869636933
SULT1E1,intermediate,0.7565609087348217,0.7516647081864474,-0.009366966024129607
GTSE1,intermediate,0.6809635722679201,0.6337641989815903,-0.10363145913986774
TOP2A,intermediate,2.364864864864865,2.3435174304739523,-0.013082220949985087
BIRC5,intermediate,0.6165295730513122,0.6118292205248727,-0.011041087347529989
TPX2,intermediate,1.6956521739130435,1.6643164904034469,-0.026910456883048994
NUSAP1,intermediate,0.43615354484919705,0.43027810419114765,-0.01956668831934586
CENPF,intermediate,2.6147669408538974,2.499020759890325,-0.06531947578150035
PTTG1,intermediate,1.3746572659616139,1.3341167254210733,-0.04318706872839716
HJURP,intermediate,0.34292988640814726,0.37426556991774385,0.12614869419166716
UBE2C,intermediate,2.7559733646690168,2.7559733646690168,0.0
RACGAP1,intermediate,0.43791617704661184,0.44144144144144143,0.011567327302721926
NDC80,intermediate,0.41049745397571485,0.40658049353701525,-0.013832273145711142
CDCA3,intermediate,0.46141793967880923,0.4535840188014101,-0.02470428578722321
DLGAP5,intermediate,0.4894242068155112,0.49157853505679594,0.006336462738512171
CDKN3,intermediate,0.42851547199373285,0.472777124951038,0.14181293764727024
NUF2,intermediate,0.4108891500195848,0.44046220133176656,0.1002689829648071
FBXO5,intermediate,0.572855464159812,0.5904817861339601,0.04372137735414098
CCNA2,intermediate,0.46141793967880923,0.4473168820994908,-0.0447768883690544
KIF23,intermediate,0.4120642381511947,0.41421856639247945,0.007522958696800438
UBALD2,intermediate,0.618683901292597,0.6188797493145319,0.0004566213168540587
PRRT2,intermediate,0.35663924794359575,0.34919702311006656,-0.030424219265629354
ELN,intermediate,1.6680376028202115,1.662945554249902,-0.004410877264785026
KIF2C,intermediate,0.5330983157070114,0.5442616529573051,0.029898767641059268
CDC20,intermediate,0.6122209165687427,0.6300430865648257,0.041398157586415164
SGO1,intermediate,0.40403446925186054,0.4114766940853897,0.026332340721978965
CCDC18,intermediate,0.3164904034469252,0.2984723854289072,-0.08456429498329268
SPC25,intermediate,0.39874657265961616,0.38797493145319234,-0.039508681085757565
KIFC1,intermediate,1.3159028593811202,1.063454759106933,-0.3072943319768015
HMMR,intermediate,0.7922052487269878,0.8113983548766157,0.034536117618789955
TTK,intermediate,0.3975714845280063,0.41343517430473953,0.05644685113538002
PIMREG,intermediate,0.49138268703486093,0.4956913435174305,0.012595036675991376
CKS2,intermediate,1.7583235409322366,1.8125734430082256,0.0438388938178344
IER5,intermediate,0.864081472777125,0.8556600078339209,-0.014129685130732445
MIR503HG,intermediate,0.27262044653349,0.26694085389737565,-0.030373648930923848
JUND,intermediate,2.205444575009792,2.198589894242068,-0.004490982984237863
AURKB,intermediate,0.4518213866039953,0.46141793967880923,0.030321535081068624
MEST,intermediate,4.029181355268312,4.009204857030944,-0.007170607010703763
CKAP2,intermediate,0.8141402271837055,0.8117900509204857,-0.004170646236129498
PSRC1,intermediate,0.19643556600078338,0.18174696435566,-0.11212489489104428
TMEM185A,intermediate,0.4132393262828045,0.39776733254994123,-0.05505275916259759
CDCA2,intermediate,0.37309048178613397,0.38973756365060713,0.06297743288515877
CDK1,intermediate,0.6934978456717588,0.6576576576576577,-0.07655461334051572
FOXM1,intermediate,0.4780650215432824,0.07422640031335684,-2.687202525191428
PRC1,intermediate,0.372502937720329,0.38033685859772814,0.030025954478855973
ASPM,intermediate,1.1858597728162945,1.1586368977673325,-0.03350490745403912
HIST1H4C,intermediate,6.924010967489228,6.371327849588719,-0.12001393373544877
HIST2H2AC,intermediate,0.4132393262828045,0.37798668233450844,-0.12864215111350175
CCNB1,intermediate,1.5409322365844105,1.5047003525264395,-0.034327203937361495
NET1,intermediate,0.8926752839796318,0.9110849980415198,0.02945017217526464
LSM5,intermediate,2.0959655307481393,2.0879357618488052,-0.005537665053818982
PBX3,intermediate,0.27222875048962003,0.2651782216999608,-0.03785714389496876
FAM122B,intermediate,0.3537015276145711,0.3409714061887975,-0.05288168967747369
