gene,umap_x,umap_y,cluster
AC131934.1,24.12888,9.1360445,8
ACOT11,25.079464,7.204454,5
GOLGA2,25.621586,3.9304843,9
CNBP,22.783491,1.3746953,8
COPS6,20.379406,5.956465,8
AC245884.8,24.239578,5.226245,8
NOL8,24.917448,6.4606633,3
PLAUR,22.925512,7.432414,2
AC078883.2,25.859266,6.209265,0
AC046158.1,26.033186,7.6190267,0
CER1,25.08779,5.808237,4
MARS,22.062925,5.1811047,2
AL136115.1,27.35731,6.242651,0
HDGFL2,21.449848,7.3709817,8
AC093690.1,25.994165,4.7588716,7
COG7,24.056356,6.256893,0
KDM5C,25.121437,2.7325864,4
AL354950.2,23.820591,5.099703,0
AC090617.3,22.236233,5.0054264,8
ADNP2,27.487633,5.0824194,8
SYNGAP1-AS1,21.77536,7.1862736,8
AC012313.5,24.310987,6.5563602,2
RNF168,23.866655,9.353959,8
UGP2,23.610619,8.884105,2
RING1,21.31495,3.310171,6
CD28,27.033833,3.8829904,7
GRIK1,25.486273,4.1839986,4
GAPVD1,25.057373,8.333922,5
VSIG8,23.455437,3.8665354,4
PHEX,25.393261,5.437949,7
SMIM10L2B-AS1,26.90635,5.290837,0
PLXNB1,26.403992,7.7820144,0
RPGRIP1L,25.984835,7.156815,3
ALDOB,25.656454,3.2078972,4
STAG1,26.3167,8.579757,0
PTCD2,23.80101,4.911349,3
RAD17,27.249079,5.9391036,3
SLC38A5,21.832186,3.1181421,8
AC139887.4,26.187574,5.896185,0
HIC1,26.674004,4.1926866,7
ARPC1B,21.98663,7.403227,2
AC111170.1,26.14661,5.2481046,0
ANKIB1,25.949244,5.7600937,3
GRIPAP1,24.620453,6.8246574,5
ARMCX3,23.95726,3.8837602,3
NUP50,23.880186,8.835293,5
SLC4A5,26.135223,4.574185,7
ARHGEF7,25.533783,4.1911426,8
TPST1,24.750443,6.270378,8
PPP2R1B,24.34659,9.291716,0
RANBP2,25.778194,7.8989043,9
AP000757.1,28.106985,6.630981,0
CYR61,24.426987,3.8120933,4
PLEKHA8,24.032692,6.8169723,5
CATSPERZ,23.309673,8.0185585,8
ZMYM5,24.113743,5.6846514,8
NCAPD2,21.758698,10.463181,8
TJP2,26.860563,6.6450324,7
ALS2,25.074047,6.535141,1
FSTL5,23.237318,2.8858619,8
CSF2RA,23.08798,5.785236,8
DRC1,25.232487,5.144974,8
AP000223.1,25.900013,6.271495,8
AC008906.2,25.545835,4.76811,7
PIK3R4,23.853569,7.3808346,2
TIPARP,27.78466,5.4445124,7
TSHZ2,25.89725,5.5796323,3
NAPB,25.430738,6.2852182,3
AC004593.3,23.1699,5.3023243,4
MYO7B,21.709019,3.9888043,8
AGAP4,25.493853,6.028151,7
FRY,22.515394,4.6625714,8
AFAP1-AS1,23.400105,3.1310136,4
MNS1,23.791634,9.797414,8
SPRED1,24.60373,7.281042,2
SIK1,23.37536,3.573589,4
CD55,22.303175,2.7835867,6
FGD6,26.95041,8.136131,0
WDR60,26.18655,4.996617,3
RNF213,21.486504,5.059502,6
PLEKHG3,24.031937,6.613387,4
PRDM8,27.63185,5.387106,0
USP40,27.60478,6.5625854,3
DESI1,21.999445,4.7675376,8
AC025263.1,24.706972,5.555054,7
BEST3,23.68226,7.0182776,8
SMC2,20.166477,6.217575,8
COX17,19.936583,5.2102385,8
TTLL3,23.731258,6.5677195,5
PROSER1,24.740479,3.4004483,4
PRR34,25.764175,6.0582986,7
CYSLTR1,23.701685,5.2609887,4
ALKBH6,24.567087,7.641727,0
IL1RAPL1,23.954945,5.4700623,4
RNF169,26.673748,7.3087077,7
HSPH1,23.18545,1.4229275,8
TTF1,21.283216,6.961093,8
FAM219A,25.48826,5.168097,0
DDX11,22.82562,8.769973,8
C5orf34,25.879692,7.505223,8
NBPF15,24.810856,6.884761,0
NIF3L1,19.961752,5.3154626,8
VPS13A,25.812788,7.8870797,5
KPNA5,25.125805,4.33451,3
SLC9A9,24.453848,2.7793667,4
MAMDC2-AS1,23.097986,4.986495,4
ATP2C1,27.937231,5.9334836,0
ASB4,23.501835,6.029244,8
LIF,25.121115,4.776772,4
MTR,24.038166,8.051104,1
AC027601.4,27.29732,5.582312,8
OCLN,24.936266,6.683669,0
HSF2,26.728138,4.4100933,8
LY6G6F-LY6G6D,25.806206,5.2200627,0
IRAK4,22.105152,7.373243,8
HES7,22.061893,2.591738,6
AC011092.2,25.290255,5.102536,7
TRIM13,23.285328,4.9374447,4
NLRP12,25.453424,4.6343584,4
KCNH7,27.024094,5.8620424,0
AC096992.2,27.736378,5.492015,0
TMEM161B,24.834265,8.089074,0
POT1-AS1,26.748978,3.468158,8
AC002310.2,27.695396,5.307918,0
GPATCH1,25.229986,7.330247,0
NOP58,22.51898,8.117476,2
STPG1,22.772163,8.047699,2
TMOD2,25.2044,7.4414597,0
AMY2B,25.682463,7.383094,8
DDX20,25.01227,8.401223,5
AC005954.2,24.905733,6.1918216,7
CCDC85C,27.182678,7.042326,7
CTGF,25.310696,5.591313,3
CHRNA1,20.399118,5.1423516,8
CCDC159,24.802757,5.82023,4
U2AF2,23.728165,8.453381,8
TDRD3,23.45,5.3119025,8
NNMT,26.12503,6.491001,0
OCRL,25.783916,7.088007,0
LY6G5B,24.2417,2.9859002,8
FUT2,24.115753,5.949196,4
PALM2,26.425491,6.535306,0
AC018653.3,25.004593,4.8262014,3
AP002449.1,24.64603,3.0425847,4
LINC02035,24.916233,6.001013,0
TUBB1,23.77498,6.1896005,4
TNNI2,23.849758,2.1104543,8
MEIOC,26.650713,3.72484,4
PRKAR1A,23.153433,6.7447553,2
AC109347.1,27.156843,5.803606,0
PARP1,20.772057,6.701577,2
DDX19A,25.556732,8.218904,1
AL109659.2,23.174772,3.7879574,8
KMT2E-AS1,27.000084,4.484445,8
AC010319.3,27.417984,3.9460368,7
SP140,26.535906,5.565588,0
GABPB1-AS1,24.561895,4.2616773,9
TTC23,25.135965,7.977016,0
C2CD6,26.4569,5.7631717,0
MTMR7,27.560242,5.4126487,0
HIST2H2AC,-1.7771405,-0.32432988,8
CRYZ,23.728922,3.4255726,4
AC073869.3,23.553385,5.2861075,8
SLC25A40,21.807484,9.334955,8
NPEPL1,23.40883,4.254289,4
CATSPERD,27.137342,7.0147486,0
NCOA3,26.89428,5.321763,1
C8orf33,26.015781,4.546268,7
AL109976.1,23.535198,3.8156164,4
BBS9,24.585678,5.220069,4
PHYHIP,21.3208,3.4342651,8
FUT3,23.724916,3.365117,4
HEATR3,24.977026,6.46283,7
RIOK3,24.01594,4.361975,4
LINC00957,24.742985,4.3325267,4
AL358115.1,22.612015,2.4626904,8
HEATR1,23.19706,4.9397435,3
FAM53C,25.933561,6.9665956,8
AL132989.2,25.135723,3.9953604,7
NUP210,19.867931,5.2297945,8
LMLN,26.124376,7.9455276,5
AL603839.3,26.20691,4.6213846,4
MTRR,23.40671,8.166593,2
DNMBP,23.137922,8.534168,8
PCDHB9,27.086212,5.725151,3
