x,y,population,cell_type,time
7.886454,4.1786118,proliferative,proliferative,80.0
5.226502,4.207949,proliferative,proliferative,64.0
7.6447935,6.9954815,proliferative,proliferative,80.0
7.911128,6.2765126,proliferative,proliferative,80.0
-0.75821066,9.993989,quiescent,quiescent,0.0
5.1777782,2.0163531,proliferative,proliferative,64.0
-0.41233626,2.6589744,intermediate,intermediate,64.0
-0.85765725,7.0520883,quiescent,quiescent,16.0
-1.3855213,7.2886696,quiescent,quiescent,16.0
6.7312183,4.8893623,proliferative,proliferative,64.0
3.6175554,2.1172256,intermediate,proliferative,48.0
0.5856612,4.7529044,intermediate,intermediate,32.0
1.3030099,-0.28847608,intermediate,intermediate,32.0
3.7958744,2.9797144,quiescent,proliferative,48.0
5.02502,6.098124,proliferative,proliferative,48.0
7.8477693,6.631425,proliferative,proliferative,80.0
-0.43573105,1.5200616,intermediate,intermediate,32.0
7.955361,6.9314322,proliferative,proliferative,80.0
0.05764838,9.244802,quiescent,quiescent,0.0
1.0915347,3.2078254,quiescent,intermediate,48.0
7.652295,5.5237975,proliferative,proliferative,80.0
2.9168,2.3900652,intermediate,intermediate,64.0
3.4330244,-1.3635938,intermediate,intermediate,48.0
-1.8137487,5.513887,quiescent,quiescent,16.0
-1.7800484,6.6125603,quiescent,quiescent,16.0
-2.2782147,5.3986425,quiescent,quiescent,16.0
6.9664197,1.2075545,proliferative,proliferative,64.0
2.1867552,2.6623588,intermediate,intermediate,32.0
1.1281931,9.75078,quiescent,quiescent,0.0
1.090781,1.4652649,intermediate,intermediate,48.0
1.7431031,3.5488656,intermediate,intermediate,48.0
7.6448555,4.2059546,proliferative,proliferative,80.0
7.7742567,1.3613975,proliferative,proliferative,80.0
-0.12680776,7.5117254,quiescent,quiescent,16.0
8.218487,5.0847077,proliferative,proliferative,80.0
-1.2788297,3.9702811,intermediate,quiescent,16.0
0.6042279,2.8557515,intermediate,intermediate,32.0
6.5974655,2.8953183,proliferative,proliferative,80.0
0.965623,0.8061223,intermediate,intermediate,32.0
0.5629333,6.3197618,proliferative,quiescent,32.0
-1.6355841,10.885333,quiescent,quiescent,0.0
-1.2971388,8.267669,quiescent,quiescent,0.0
-2.3284087,8.698617,quiescent,quiescent,0.0
-0.47018576,9.037579,quiescent,quiescent,0.0
2.5505257,4.3722134,proliferative,intermediate,64.0
-0.6177495,0.7202973,intermediate,intermediate,32.0
8.472049,3.6429572,proliferative,proliferative,80.0
-2.6007562,8.862234,quiescent,quiescent,0.0
6.761859,3.2898366,proliferative,proliferative,80.0
6.038585,1.4200723,proliferative,proliferative,64.0
7.169109,7.147595,proliferative,proliferative,80.0
2.0281203,-0.081835054,intermediate,intermediate,48.0
-0.44248992,6.913465,proliferative,quiescent,0.0
-1.7143298,8.875907,quiescent,quiescent,0.0
5.3235526,3.0532775,proliferative,proliferative,64.0
1.9275188,5.8543196,intermediate,quiescent,32.0
-1.1640959,6.481384,quiescent,quiescent,16.0
8.26337,3.737751,proliferative,proliferative,80.0
7.8432207,5.417713,proliferative,proliferative,64.0
4.2347636,3.701712,proliferative,proliferative,32.0
7.8876677,7.2708654,proliferative,proliferative,80.0
1.687725,7.025434,quiescent,quiescent,0.0
0.89584476,2.6636627,intermediate,intermediate,32.0
8.180305,4.1192102,proliferative,proliferative,80.0
-0.030243676,8.763535,quiescent,quiescent,0.0
-0.6860172,6.6995025,quiescent,quiescent,0.0
4.0954833,5.6516476,proliferative,intermediate,64.0
7.0307417,8.633278,proliferative,proliferative,80.0
-2.3530226,5.460406,intermediate,quiescent,16.0
2.361682,5.9869347,intermediate,quiescent,16.0
-0.37483382,2.1899936,intermediate,intermediate,32.0
7.935007,3.8803704,proliferative,proliferative,80.0
-2.03351,4.998299,intermediate,quiescent,16.0
1.8503866,0.50658584,intermediate,intermediate,64.0
7.5467386,3.655898,proliferative,proliferative,80.0
-2.1144829,9.852554,quiescent,quiescent,0.0
-2.4975538,7.44847,quiescent,quiescent,16.0
-1.0631388,5.9642363,quiescent,quiescent,16.0
0.78031147,4.9289026,intermediate,quiescent,16.0
7.346017,4.4529476,proliferative,proliferative,80.0
6.32802,4.9855824,proliferative,proliferative,48.0
-1.6444172,5.4144974,intermediate,quiescent,32.0
1.5278431,-0.7575745,intermediate,intermediate,48.0
3.7444239,5.2472186,proliferative,intermediate,80.0
5.6146603,1.6520712,proliferative,proliferative,64.0
-2.0034828,9.465991,quiescent,quiescent,0.0
1.4774764,8.713312,intermediate,quiescent,0.0
2.5225184,0.54111683,intermediate,intermediate,32.0
-1.4889854,1.9899945,intermediate,intermediate,32.0
-1.1960409,4.67231,intermediate,quiescent,16.0
1.4126921,0.96877867,intermediate,intermediate,32.0
8.557622,3.3366563,proliferative,proliferative,80.0
-1.3362231,2.5963173,intermediate,intermediate,64.0
-1.4495847,3.7773762,intermediate,intermediate,32.0
7.2770314,8.557177,proliferative,proliferative,80.0
0.90922976,3.721835,quiescent,intermediate,32.0
0.16373384,0.5408371,intermediate,intermediate,32.0
0.35861084,4.8345885,quiescent,quiescent,16.0
4.6993613,2.2772415,intermediate,proliferative,48.0
0.41446516,8.810624,quiescent,quiescent,0.0
3.7725422,4.7816324,proliferative,quiescent,32.0
1.6179073,-0.4329582,intermediate,intermediate,48.0
-0.4109899,8.332874,quiescent,quiescent,0.0
5.685905,3.8914275,proliferative,proliferative,64.0
-1.6268721,6.2872524,quiescent,quiescent,16.0
-1.647802,4.5395994,intermediate,quiescent,16.0
4.871999,6.1483846,proliferative,proliferative,16.0
-2.0090368,6.4697986,quiescent,quiescent,16.0
8.616537,5.8706236,proliferative,proliferative,80.0
4.6424417,0.06756158,intermediate,proliferative,48.0
2.5866103,-1.5582801,intermediate,intermediate,64.0
